UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,1,2018,29,4510166,2272439,2237727,1677264,1620611,333288,344306,33827,30829,163296,173714,7076,6749,57688,61518,1727509,1674253,356249,370636,51830,49812,186978,198126,12879,12682,1791699,1801946,1255778,1240946,309393,320347,18427,18111,158446,168689,5056,5051,44599,48802,1294470,1283405,326550,340774,30475,31498,178728,189656,9664,9788,480740,435781,421486,379665,23895,23959,15400,12718,4850,5025,2020,1698,13089,12716,433039,390848,29699,29862,21355,18314,8250,8470,3215,2894
C,1,2018,30,4397991,2217630,2180361,1652036,1589458,314195,326768,32417,29732,157379,168845,7102,6496,54501,59062,1699387,1641049,335749,351662,49707,48167,179718,192296,12761,12348,1743778,1753152,1235419,1216593,291375,303681,17404,17337,152673,164176,5003,4847,41904,46518,1271569,1257124,307398,322829,28920,30167,171784,184342,9508,9491,473852,427209,416617,372865,22820,23087,15013,12395,4706,4669,2099,1649,12597,12544,427818,383925,28351,28833,20787,18000,7934,7954,3253,2857
C,1,2018,31,4361406,2195419,2165987,1645135,1587059,302756,318812,31980,29205,156454,168004,7027,6533,52067,56374,1690562,1636049,322705,342450,48893,47615,177867,190204,12330,12011,1723796,1740108,1230171,1215024,280349,295788,16902,16778,151728,163522,4905,4830,39741,44166,1264659,1253236,294851,313911,28122,29547,170019,182525,9122,9221,471623,425879,414964,372035,22407,23024,15078,12427,4726,4482,2122,1703,12326,12208,425903,382813,27854,28539,20771,18068,7848,7679,3208,2790
C,1,2018,32,4416552,2221721,2194831,1672602,1614714,301007,318120,31936,29431,158167,170791,7106,6646,50903,55129,1716813,1662638,320456,340514,48926,47527,178799,192766,12397,12313,1741467,1763445,1249661,1237265,278472,295193,16333,16845,153516,166218,4952,5041,38533,42883,1282894,1274380,292487,311960,27554,29521,171054,184992,9109,9571,480254,431386,422941,377449,22535,22927,15603,12586,4651,4573,2154,1605,12370,12246,433919,388258,27969,28554,21372,18006,7745,7774,3288,2742
C,1,2018,33,4357526,2181408,2176118,1645498,1601296,289994,312562,31212,29043,158818,173178,6856,6366,49030,53673,1688119,1647780,308134,333839,47837,47040,178858,194932,12145,11892,1711423,1747641,1231014,1226045,268414,290026,16157,16473,154172,168786,4771,4702,36895,41609,1262875,1261966,281333,305755,27089,28975,171181,187351,8923,9119,469985,428477,414484,375251,21580,22536,15055,12570,4646,4392,2085,1664,12135,12064,425244,385814,26801,28084,20748,18065,7677,7581,3222,2773
C,1,2018,34,4278532,2136746,2141786,1615528,1576914,280796,305776,30677,28535,155584,171779,6787,6428,47374,52354,1656599,1622252,298264,326053,46928,46613,175043,192916,11847,11943,1677313,1717834,1210147,1205643,259834,283455,15715,16042,151141,167534,4793,4791,35683,40369,1240858,1240413,272199,298431,26508,28584,167598,185515,8762,9154,459433,423952,405381,371271,20962,22321,14962,12493,4443,4245,1994,1637,11691,11985,415741,381839,26065,27622,20420,18029,7445,7401,3085,2789
C,1,2018,35,4361319,2175089,2186230,1647577,1611751,284926,311964,31332,29182,156634,174027,6921,6624,47699,52682,1688932,1657245,302329,332519,48086,47642,175949,195060,12127,12118,1702741,1749007,1230337,1228691,263554,288846,16010,16388,152005,169482,4881,4890,35954,40710,1261261,1263613,275856,304010,27181,29287,168381,187416,9009,9300,472348,437223,417240,383060,21372,23118,15322,12794,4629,4545,2040,1734,11745,11972,427671,393632,26473,28509,20905,18355,7568,7644,3118,2818
C,1,2018,36,4263538,2120114,2143424,1611365,1583658,277064,306461,29575,27963,149473,168592,6757,6172,45880,50578,1650995,1627301,293695,326349,46076,45841,167896,188497,11687,11552,1667276,1716581,1211447,1209235,256585,284289,15002,15535,145015,164130,4747,4483,34480,38909,1240993,1242650,268348,298920,26023,27947,160552,181044,8624,8757,452838,426843,399918,374423,20479,22172,14573,12428,4458,4462,2010,1689,11400,11669,410002,384651,25347,27429,20053,17894,7344,7453,3063,2795
C,1,2018,37,4355533,2169825,2185708,1649673,1612953,288662,318721,30607,28878,147669,167972,6950,6290,46264,50894,1689584,1656827,305549,338695,47215,47085,166283,187871,12122,11688,1698502,1747321,1232893,1228112,267678,295877,15516,16153,142977,163450,4824,4623,34614,39106,1262497,1261580,279549,310495,26591,28895,158597,180359,8924,8972,471323,438387,416780,384841,20984,22844,15091,12725,4692,4522,2126,1667,11650,11788,427087,395247,26000,28200,20624,18190,7686,7512,3198,2716
C,1,2018,38,4241239,2116362,2124877,1609868,1567157,281294,311286,29646,27624,145075,164180,6378,6069,44101,48561,1648003,1608880,297198,330381,45961,45114,162425,183146,11264,11236,1660742,1701268,1207304,1195110,260697,289199,14958,15368,140709,159908,4402,4525,32672,37158,1235309,1226795,271705,302985,25740,27609,155212,175995,8249,8667,455620,423609,402564,372047,20597,22087,14688,12256,4366,4272,1976,1544,11429,11403,412694,382085,25493,27396,20221,17505,7213,7151,3015,2569
