UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2018,29,4620625,2348735,2271890,1725267,1636536,352251,357527,34733,31151,167445,175984,7729,6805,61310,63887,1778685,1692157,376929,385051,54353,50837,192038,201214,13920,13057,1861316,1831523,1298932,1253099,327308,333029,19239,18476,162457,170874,5693,5127,47687,50918,1340341,1297271,345888,354659,32631,32405,183505,192592,10628,10114,487419,440367,426335,383437,24943,24498,15494,12675,4988,5110,2036,1678,13623,12969,438344,394886,31041,30392,21722,18432,8533,8622,3292,2943
P,7,2018,30,4509264,2288949,2220315,1697266,1613063,329142,336806,34044,30465,162940,172658,7663,6743,57894,60580,1747478,1665841,351786,362651,52511,49268,186701,196684,13800,12745,1803459,1785906,1271451,1234364,305235,313013,18483,17764,158144,167859,5529,5081,44617,47825,1309975,1275956,322047,332911,30851,30900,178461,188478,10351,9897,485490,434409,425815,378699,23907,23793,15561,12701,4796,4799,2134,1662,13277,12755,437503,389885,29739,29740,21660,18368,8240,8206,3449,2848
P,7,2018,31,4428751,2247204,2181547,1677805,1591851,314582,324859,32859,29461,160149,170353,7493,6633,54316,58390,1724948,1642738,335823,349490,50624,48094,182255,193414,13136,12339,1770067,1752472,1258355,1217360,291625,301656,17728,17125,155357,165716,5360,4907,41642,45708,1294259,1257050,307207,320429,29636,30033,174285,185506,9889,9448,477137,429075,419450,374491,22957,23203,15131,12336,4792,4637,2133,1726,12674,12682,430689,385688,28616,29061,20988,18061,7970,7908,3247,2891
P,7,2018,32,4440681,2251145,2189536,1689756,1605891,307146,320493,32636,29412,161114,171326,7592,6737,52901,55677,1735626,1654103,327258,343537,50159,47658,182716,193340,13315,12389,1769615,1759303,1266112,1229670,284178,297367,17061,16837,156380,166796,5422,5095,40462,43538,1301012,1267202,298797,314895,28796,29631,174815,185587,9967,9630,481530,430233,423644,376221,22968,23126,15575,12575,4734,4530,2170,1642,12439,12139,434614,386901,28461,28642,21363,18027,7901,7753,3348,2759
P,7,2018,33,4468228,2257333,2210895,1700767,1624712,304136,320138,32018,29422,161857,174917,7498,6683,51057,55023,1744973,1672444,323201,342180,49309,47745,182709,197015,13113,12326,1774103,1776978,1274917,1244977,281628,296976,16650,16807,157170,170416,5304,5049,38434,42753,1307931,1281892,295159,313372,28040,29593,174879,189364,9737,9558,483230,433917,425850,379735,22508,23162,15368,12615,4687,4501,2194,1634,12623,12270,437042,390552,28042,28808,21269,18152,7830,7651,3376,2768
P,7,2018,34,4324693,2175823,2148870,1640922,1578984,287868,308191,31182,28697,160118,173579,7163,6480,48570,52939,1682904,1624826,305799,328821,47892,46709,180086,195124,12488,12057,1710098,1723615,1230295,1206340,266381,286005,16185,16259,155493,169278,5127,4820,36617,40913,1261722,1241600,279101,301212,27250,28775,172453,187620,9327,9271,465725,425255,410627,372644,21487,22186,14997,12438,4625,4301,2036,1660,11953,12026,421182,383226,26698,27609,20642,17934,7633,7504,3161,2786
P,7,2018,35,4382245,2199631,2182614,1663856,1606179,289504,312747,31642,29236,158522,174694,7255,6662,48852,53096,1706128,1651986,307372,333365,48540,47671,178487,196084,12635,12282,1728204,1748818,1247671,1226616,268091,289552,16274,16481,153927,170260,5219,4975,37022,40934,1279446,1261732,280773,304696,27655,29262,170891,188520,9487,9452,471427,433796,416185,379563,21413,23195,15368,12755,4595,4434,2036,1687,11830,12162,426682,390254,26599,28669,20885,18409,7596,7564,3148,2830
P,7,2018,36,4371901,2189810,2182091,1659952,1607910,287535,313242,31016,28531,156682,174049,7265,6571,47360,51788,1700890,1652503,304753,333585,47876,46799,175763,194600,12548,12053,1720293,1745769,1245419,1225202,266119,290437,15972,15791,152064,169490,5206,4826,35513,40023,1275848,1259476,278246,305459,27191,28567,168108,186988,9380,9214,469517,436322,414533,382708,21416,22805,15044,12740,4618,4559,2059,1745,11847,11765,425042,393027,26507,28126,20685,18232,7655,7612,3168,2839
P,7,2018,37,4316263,2158341,2157922,1642182,1593993,283851,311088,30066,28447,148622,167564,7051,6162,46569,50668,1682189,1637733,300806,331103,46772,46359,167381,187379,12278,11536,1697506,1727156,1234871,1216160,263151,288504,15355,15951,144006,163109,5045,4506,35078,38926,1264772,1249535,275126,303127,26563,28408,159881,180008,9169,8844,460835,430766,407311,377833,20700,22584,14711,12496,4616,4455,2006,1656,11491,11742,417417,388198,25680,27976,20209,17951,7500,7371,3109,2692
P,7,2018,38,4392600,2204201,2188399,1673909,1611784,295738,322116,31036,28737,150170,168808,7145,6466,46203,50488,1713756,1655236,312498,342005,48126,46863,168474,188528,12336,11887,1726912,1750058,1252391,1226889,274107,299247,15731,16087,145479,164327,4975,4822,34229,38686,1281649,1259915,285709,313721,27059,28765,160729,181043,9079,9167,477289,438341,421518,384895,21631,22869,15305,12650,4691,4481,2170,1644,11974,11802,432107,395321,26789,28284,21067,18098,7745,7485,3257,2720
P,7,2018,39,4114647,2054724,2059923,1563483,1518297,272411,301935,28528,26552,141470,160551,6289,5834,42543,46754,1600092,1558470,287777,320084,44206,43506,158331,178876,11123,10786,1619849,1650442,1178799,1159106,252795,280405,14780,14667,137310,156387,4439,4286,31726,35591,1205834,1189467,263477,293395,25202,26427,151543,171933,8260,8257,434875,409481,384684,359191,19616,21530,13748,11885,4160,4164,1850,1548,10817,11163,394258,369003,24300,26689,19004,17079,6788,6943,2863,2529
P,7,2018,40,4028874,2008940,2019934,1536117,1495756,261921,291275,27663,26412,136396,155988,6031,5530,40812,44973,1571099,1534220,276429,308558,42926,43094,152723,173655,10419,10208,1577907,1612337,1153748,1137205,243092,270543,14219,14588,132303,151746,4308,4095,30237,34160,1179360,1166162,253101,282868,24370,26176,145966,166753,7767,7863,431033,407597,382369,358551,18829,20732,13444,11824,4093,4242,1723,1435,10575,10813,391739,368058,23328,25690,18556,16918,6757,6902,2652,2345
P,7,2018,41,3982994,1979413,2003581,1514777,1483554,256718,288492,27602,26086,135257,156320,5885,5556,39174,43573,1548473,1520726,270552,305046,42521,42499,150703,173436,10224,10227,1556283,1597188,1139064,1125062,238630,268053,14403,14752,131045,152195,4148,4065,28993,33061,1163699,1153013,248009,279824,24463,26235,143962,166612,7550,7782,423130,406393,375713,358492,18088,20439,13199,11334,4212,4125,1737,1491,10181,10512,384774,367713,22543,25222,18058,16264,6741,6824,2674,2445
P,7,2018,42,3862291,1919505,1942786,1466865,1439375,246956,277044,26626,25141,136049,155227,5472,5249,37537,40750,1499156,1474054,259802,292325,41064,40756,151039,171309,9662,9550,1505580,1543303,1098634,1086168,229501,257257,13710,13890,132065,151136,3930,3853,27740,30999,1122220,1112299,238108,268117,23411,24873,144684,164753,7235,7312,413925,399483,368231,353207,17455,19787,12916,11251,3984,4091,1542,1396,9797,9751,376936,361755,21694,24208,17653,15883,6355,6556,2427,2238
